origin_city_name,dest_city_name,n,distance_km,duration_min,duration_mean,duration_max,price_mean
"Saint-Étienne, Auvergne-Rhône-Alpes, France","Grenoble, Auvergne-Rhône-Alpes, France",58,107.12801730444198,1.6666666666666667,4.164942528735632,18.55,23.53965517241379
"Ventimiglia, Liguria, Italia","Toulon, Provence-Alpes-Côte d'Azur, France",58,154.16745847955224,2.3333333333333335,5.149137931034482,27.033333333333335,30.91896551724138
"Lille, Hauts-de-France, France","Annecy, Auvergne-Rhône-Alpes, France",58,573.2765565938189,5.783333333333333,10.026149425287356,26.916666666666668,84.43103448275862
"Toulon, Provence-Alpes-Côte d'Azur, France","Strasbourg, Grand-Est, France",58,621.8161757919756,6.866666666666666,12.206034482758621,33.166666666666664,92.27413793103447
"La Rochelle, Nouvelle-Aquitaine, France","Bordeaux, Nouvelle-Aquitaine, France",57,153.3330174029906,1.6666666666666667,3.546783625730994,24.0,14.475438596491228
"Lyon, Auvergne-Rhône-Alpes, France","Caen, Normandie, France",57,543.6036607608968,4.95,12.331871345029239,28.25,46.00350877192982
"Bordeaux, Nouvelle-Aquitaine, France","Lille, Hauts-de-France, France",57,700.6426795424775,8.166666666666666,13.001461988304094,16.916666666666668,37.992982456140346
"Grenoble, Auvergne-Rhône-Alpes, France","Brive-la-Gaillarde, Nouvelle-Aquitaine, France",57,332.54329836104,4.833333333333333,13.496491228070175,41.75,133.71578947368423
"Paris, Île-de-France, France","Manchester, England, United Kingdom",57,606.2964354858699,9.833333333333334,14.59795321637427,37.25,61.83719298245614
"Strasbourg, Grand-Est, France","Metz, Grand-Est, France",56,129.51059141258727,1.6666666666666667,3.2526785714285715,19.983333333333334,18.56964285714286
"Dijon, Bourgogne-Franche-Comté, France","Paris, Île-de-France, France",56,261.1219358368659,2.6166666666666667,4.123511904761904,14.5,25.62142857142857
"Paris, Île-de-France, France","Anvers, Vlaanderen, Belgique",56,301.20655207805555,3.1666666666666665,7.976190476190476,29.333333333333332,24.46607142857143
"Clermont-Ferrand, Auvergne-Rhône-Alpes, France","Marseille, Provence-Alpes-Côte d'Azur, France",55,329.46851618461505,4.833333333333333,6.696666666666666,17.5,43.839999999999996
"Paris, Île-de-France, France","Arles, Provence-Alpes-Côte d'Azur, France",55,600.1788756133735,3.683333333333333,10.675151515151516,33.416666666666664,58.841818181818184
"Clermont-Ferrand, Auvergne-Rhône-Alpes, France","Bordeaux, Nouvelle-Aquitaine, France",54,304.3137373771206,2.1666666666666665,4.358333333333333,11.333333333333334,29.52037037037037
"Paris, Île-de-France, France","Châteauroux, Centre-Val de Loire, France",54,231.81605193273077,2.3333333333333335,5.173456790123457,19.6,21.34259259259259
"Lille, Hauts-de-France, France","Saint-Étienne, Auvergne-Rhône-Alpes, France",54,586.1288755517564,4.116666666666666,10.43611111111111,32.583333333333336,83.55555555555556
